	x	nu_anom
0	3.125000e-05	1.931054e+06
1	9.375000e-05	6.541454e+06
2	1.562500e-04	8.298189e+06
3	2.187500e-04	8.266777e+06
4	2.812500e-04	7.937289e+06
5	3.437500e-04	7.469972e+06
6	4.062500e-04	7.063836e+06
7	4.687500e-04	6.782551e+06
8	5.312500e-04	6.543938e+06
9	5.937500e-04	6.321097e+06
10	6.562500e-04	6.127740e+06
11	7.187500e-04	6.067877e+06
12	7.812500e-04	5.926440e+06
13	8.437500e-04	5.819818e+06
14	9.062500e-04	5.669716e+06
15	9.687500e-04	5.537325e+06
16	1.031250e-03	5.433327e+06
17	1.093750e-03	5.340958e+06
18	1.156250e-03	5.187622e+06
19	1.218750e-03	5.079197e+06
20	1.281250e-03	5.004489e+06
21	1.343750e-03	4.947149e+06
22	1.406250e-03	4.850819e+06
23	1.468750e-03	4.801292e+06
24	1.531250e-03	4.783267e+06
25	1.593750e-03	4.742733e+06
26	1.656250e-03	4.703313e+06
27	1.718750e-03	4.690069e+06
28	1.781250e-03	4.658886e+06
29	1.843750e-03	4.614378e+06
30	1.906250e-03	4.615377e+06
31	1.968750e-03	4.549431e+06
32	2.031250e-03	4.538919e+06
33	2.093750e-03	4.528514e+06
34	2.156250e-03	4.468247e+06
35	2.218750e-03	4.452745e+06
36	2.281250e-03	4.389910e+06
37	2.343750e-03	4.363179e+06
38	2.406250e-03	4.338331e+06
39	2.468750e-03	4.279781e+06
40	2.531250e-03	4.253483e+06
41	2.593750e-03	4.205878e+06
42	2.656250e-03	4.231341e+06
43	2.718750e-03	4.211735e+06
44	2.781250e-03	4.208140e+06
45	2.843750e-03	4.218466e+06
46	2.906250e-03	4.232855e+06
47	2.968750e-03	4.230464e+06
48	3.031250e-03	4.215233e+06
49	3.093750e-03	4.213881e+06
50	3.156250e-03	4.213344e+06
51	3.218750e-03	4.203323e+06
52	3.281250e-03	4.206597e+06
53	3.343750e-03	4.215261e+06
54	3.406250e-03	4.215940e+06
55	3.468750e-03	4.203114e+06
56	3.531250e-03	4.204319e+06
57	3.593750e-03	4.190745e+06
58	3.656250e-03	4.181438e+06
59	3.718750e-03	4.142603e+06
60	3.781250e-03	4.106713e+06
61	3.843750e-03	4.089370e+06
62	3.906250e-03	4.015778e+06
63	3.968750e-03	3.975074e+06
64	4.031250e-03	3.928468e+06
65	4.093750e-03	3.895157e+06
66	4.156250e-03	3.834058e+06
67	4.218750e-03	3.798825e+06
68	4.281250e-03	3.749591e+06
69	4.343750e-03	3.715445e+06
70	4.406250e-03	3.672259e+06
71	4.468750e-03	3.644974e+06
72	4.531250e-03	3.607087e+06
73	4.593750e-03	3.557555e+06
74	4.656250e-03	3.528312e+06
75	4.718750e-03	3.487604e+06
76	4.781250e-03	3.437744e+06
77	4.843750e-03	3.416872e+06
78	4.906250e-03	3.378223e+06
79	4.968750e-03	3.370221e+06
80	5.031250e-03	3.346481e+06
81	5.093750e-03	3.343773e+06
82	5.156250e-03	3.306857e+06
83	5.218750e-03	3.278576e+06
84	5.281250e-03	3.243438e+06
85	5.343750e-03	3.254776e+06
86	5.406250e-03	3.253122e+06
87	5.468750e-03	3.228240e+06
88	5.531250e-03	3.196238e+06
89	5.593750e-03	3.156804e+06
90	5.656250e-03	3.082923e+06
91	5.718750e-03	3.028548e+06
92	5.781250e-03	2.962039e+06
93	5.843750e-03	2.871780e+06
94	5.906250e-03	2.789003e+06
95	5.968750e-03	2.713484e+06
96	6.031250e-03	2.645985e+06
97	6.093750e-03	2.591707e+06
98	6.156250e-03	2.577164e+06
99	6.218750e-03	2.597589e+06
100	6.281250e-03	2.640861e+06
101	6.343750e-03	2.742624e+06
102	6.406250e-03	2.906169e+06
103	6.468750e-03	3.130007e+06
104	6.531250e-03	3.423705e+06
105	6.593750e-03	3.782724e+06
106	6.656250e-03	4.237954e+06
107	6.718750e-03	4.803971e+06
108	6.781250e-03	5.462166e+06
109	6.843750e-03	6.213046e+06
110	6.906250e-03	7.045941e+06
111	6.968750e-03	7.942800e+06
112	7.031250e-03	8.889323e+06
113	7.093750e-03	9.847444e+06
114	7.156250e-03	1.077538e+07
115	7.218750e-03	1.166287e+07
116	7.281250e-03	1.251247e+07
117	7.343750e-03	1.334766e+07
118	7.406250e-03	1.415257e+07
119	7.468750e-03	1.492424e+07
120	7.531250e-03	1.570400e+07
121	7.593750e-03	1.647361e+07
122	7.656250e-03	1.720983e+07
123	7.718750e-03	1.786241e+07
124	7.781250e-03	1.841019e+07
125	7.843750e-03	1.882426e+07
126	7.906250e-03	1.907636e+07
127	7.968750e-03	1.913630e+07
128	8.031250e-03	1.902679e+07
129	8.093750e-03	1.874318e+07
130	8.156250e-03	1.831894e+07
131	8.218750e-03	1.771840e+07
132	8.281250e-03	1.697833e+07
133	8.343750e-03	1.616221e+07
134	8.406250e-03	1.529618e+07
135	8.468750e-03	1.443640e+07
136	8.531250e-03	1.361273e+07
137	8.593750e-03	1.282611e+07
138	8.656250e-03	1.208600e+07
139	8.718750e-03	1.134655e+07
140	8.781250e-03	1.060057e+07
141	8.843750e-03	9.860021e+06
142	8.906250e-03	9.168351e+06
143	8.968750e-03	8.579056e+06
144	9.031250e-03	8.148535e+06
145	9.093750e-03	7.937650e+06
146	9.156250e-03	8.062179e+06
147	9.218750e-03	8.581715e+06
148	9.281250e-03	9.407104e+06
149	9.343750e-03	1.049458e+07
150	9.406250e-03	1.186066e+07
151	9.468750e-03	1.344639e+07
152	9.531250e-03	1.513670e+07
153	9.593750e-03	1.674868e+07
154	9.656250e-03	1.832224e+07
155	9.718750e-03	1.972217e+07
156	9.781250e-03	2.094433e+07
157	9.843750e-03	2.194655e+07
158	9.906250e-03	2.280049e+07
159	9.968750e-03	2.346096e+07
160	1.003125e-02	2.410915e+07
161	1.009375e-02	2.475498e+07
162	1.015625e-02	2.543777e+07
163	1.021875e-02	2.616612e+07
164	1.028125e-02	2.709185e+07
165	1.034375e-02	2.811676e+07
166	1.040625e-02	2.944541e+07
167	1.046875e-02	3.132313e+07
168	1.053125e-02	3.373554e+07
169	1.059375e-02	3.686882e+07
170	1.065625e-02	4.094635e+07
171	1.071875e-02	4.639120e+07
172	1.078125e-02	5.342520e+07
173	1.084375e-02	6.199425e+07
174	1.090625e-02	7.238318e+07
175	1.096875e-02	8.470227e+07
176	1.103125e-02	9.927542e+07
177	1.109375e-02	1.153597e+08
178	1.115625e-02	1.339469e+08
179	1.121875e-02	1.544019e+08
180	1.128125e-02	1.767909e+08
181	1.134375e-02	2.011573e+08
